mall,building,latitude,longitude
100 AM,100 AM,1.27468281482263,103.843488359469
313@Somerset,313 @ SOMERSET,1.3010144,103.8383607
Aperia,APERIA,1.3097113,103.8643265
Balestier Hill Shopping Centre,BALESTIER HILL SHOPPING CENTRE,1.32616307866261,103.843741438467
Bugis Cube,BUGIS MRT STATION,1.3004650853709,103.855706731205
Bugis Junction,BUGIS MRT STATION,1.3004650853709,103.855706731205
Bugis+,BUGIS MRT STATION,1.3004650853709,103.855706731205
Capitol Piazza,CAPITOL BUILDING,1.29344480207133,103.85153211558
Cathay Cineleisure Orchard,CATHAY CINELEISURE ORCHARD,1.30152101873533,103.836429655016
Clarke Quay Central,CLARKE QUAY,1.29044567334673,103.845688049938
The Centrepoint,THE INGLEWOOD,1.36139274093459,103.82934181047
City Square Mall,ATM CITIBANK CITY SQUARE MALL,1.31135169933195,103.856724057693
City Gate Mall,CITY GATE,1.30231590504573,103.862331661034
CityLink Mall,ATM UOB CITYLINK MALL,1.29260349413333,103.854316064564
Duo,DUO GALLERIA,1.2995344,103.8584017
Far East Plaza,FAR EAST SQUARE,1.28338263514215,103.848375635871
Funan,FUNAN,1.2913476,103.8499898
Great World City,CITY HALL MRT STATION EXIT B,1.29310853308826,103.851951129481
[1],ATM DBS BEDOK MALL 1,1.32475054237912,103.92918919889
HDB Hub,HDB CENTRE OF BUILDING RESEARCH,1.45428714079221,103.800262079753
Holland Village Shopping Mall,HOLLAND VILLAGE,1.3111480617383,103.795003427542
ION Orchard,ATM CITIBANK ION ORCHARD,1.30419142102398,103.831510144742
Junction 8,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
[2],ATM DBS NTUC NEX SHOPPING MALL,1.35051495704491,103.872719660886
Liat Towers,LIAT TOWERS,1.30508722710852,103.830722581168
Lucky Plaza,LUCKY COURT,1.31834303213618,103.941364027549
Marina Bay Sands,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
The Shoppes at Marina Bay Sands,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
Marina Bay Link Mall,ATM CITIBANK MARINA BAY LINK MALL,1.28003113385646,103.854284863268
Marina Square,MARINA BAY FIRE STATION,1.27486187654763,103.849094342097
Millenia Walk,ATM CITIBANK MILLENIA WALK,1.29296504146626,103.859343968909
Mustafa Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28861469030586,103.805009964592
Ngee Ann City,NASCANS NGEE ANN SCC,1.30553224180437,103.917570005713
One Holland Village,DAKOTA ONE,1.3100925249631,103.886883217388
Orchard Central,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Orchard Gateway,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Orchard Plaza,ORCHARD BOULEVARD MRT STATION (TE13),1.30242224836722,103.823868523249
Midpoint Orchard,ATM HSBC MIDPOINT ORCHARD,1.30177313264942,103.838659652851
Palais Renaissance,PALAIS RENAISSANCE,1.30665484543191,103.829588045188
People's Park Centre,OG PEOPLE'S PARK,1.28525188159823,103.843168447239
People's Park Complex,OG PEOPLE'S PARK,1.28525188159823,103.843168447239
Plaza Singapura,GOLDHILL PLAZA,1.31782919793186,103.842889167307
Raffles City,SUNTEC CITY MALL,1.29350132535558,103.857307495824
Scotts Square,15 SCOTTS,1.30788492696723,103.83273062786
Shaw House and Centre,FORMER CONVENT OF THE HOLY INFANT JESUS CHAPEL AND CALDWELL HOUSE,1.29540257575749,103.852342631262
Sim Lim Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Singapore Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28861469030586,103.805009964592
The South Beach,MARINA SOUTH PIER MRT STATION EXIT A,1.27067523469027,103.862280576826
Square 2,ATM CITIBANK CITY SQUARE MALL,1.31135169933195,103.856724057693
Sunshine Plaza,SUNSHINE COURT,1.37706072838072,103.737985078061
Suntec City,ATM CITIBANK SUNTEC CITY MALL,1.29571152468885,103.858552585838
Tanglin Mall,ATM DBS TANGLIN MALL,1.30485342102105,103.823883490852
Tanjong Pagar Centre,TANJONG PAGAR MRT STATION (EW15),1.27656131737246,103.845725186759
Tekka Centre,LITTLE INDIA BUS TERMINAL,1.30758742098946,103.849847643273
The Adelphi,THE INGLEWOOD,1.36139274093459,103.82934181047
The Paragon,THE INGLEWOOD,1.36139274093459,103.82934181047
Tiong Bahru Plaza,SHELL TIONG BAHRU,1.2883742531214,103.81951732881
The Poiz,THE INGLEWOOD,1.36139274093459,103.82934181047
Thomson Plaza,THOMSON RIDGE,1.35179143376438,103.831793503213
United Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Thomson V,THOMSON RIDGE,1.35179143376438,103.831793503213
Velocity@Novena Square,ATM CITIBANK CITY SQUARE MALL,1.31135169933195,103.856724057693
Wheelock Place,WHEELOCK PLACE,1.30467628730252,103.830642027577
Wisma Atria,WISMA ATRIA,1.30370477426147,103.833205752808
Zhongshan Mall,ATM UOB ZHONGSHAN MALL,1.32694504484324,103.846554377679
Bedok Mall,ATM CITIBANK BEDOK MALL,1.32479361283131,103.929182068033
Century Square,CENTURY SQUARE (TAXI STAND),1.35226542880914,103.943384488656
City Plaza,CITY HALL MRT STATION EXIT A,1.2932330759348,103.853021562271
Changi City Point,CHANGI CITY,1.33352582052952,103.962576462766
Downtown East,DOWNTOWN EAST,1.37777584209542,103.95477359289
Djitsun Mall Bedok,DJITSUN MALL BEDOK,1.32611970329469,103.929554495615
Eastpoint Mall,ATM DBS EASTPOINT MALL EBC 1,1.34269199750599,103.953050756306
Jewel Changi Airport,ATM HSBC JEWEL CHANGI AIRPORT,1.36006289399606,103.989989170512
KINEX (formerly OneKM),BATTLE BOX (FORMERLY FAR EAST COMMAND CENTRE),1.29544345581775,103.846103299786
Katong Shopping Centre,KATONG PARK,1.29718468487452,103.886356047309
Katong Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Kallang Wave Mall,KALLANG WAVE MALL,1.30307515150401,103.873149707591
Leisure Park Kallang,ATM DBS KALLANG LEISURE PARK,1.30222177381282,103.876152665088
i12 Katong,ATM UOB I12 KATONG AUTOLOBBY,1.30522306203042,103.905043928938
Our Tampines Hub,CHIJ OUR LADY OF GOOD COUNSEL,1.35742952269615,103.864009397373
Parkway Parade,CATHAY CINEPLEX PARKWAY PARADE,1.30091736056425,103.90533928065
Pasir Ris Mall,PASIR RIS MALL,1.37382437779468,103.948748873616
Pasir Ris West Plaza,PASIR RIS BUS INTERCHANGE,1.37354705786224,103.950490160084
Paya Lebar Square,OCF C - PAYA LEBAR,1.32377170396317,103.891504365393
Paya Lebar Quarter (PLQ),PAYA LEBAR QUARTER,1.3161739,103.893139
Roxy Square,ATM CITIBANK CITY SQUARE MALL,1.31135169933195,103.856724057693
Singpost Centre,ATM DBS NTUC SINGAPORE POST CENTRE,1.31898220434607,103.894722842965
Tampines 1,EASTLINK MALL,1.35435719591377,103.944305344915
Tampines Mall,ATM OCBC TAMPINES MALL,1.35259361362837,103.944785968039
White Sands,ATM UOB WHITE SANDS MALL,1.37244981718271,103.949715695281
Elias Mall,AMAR KIDZ @ ELIAS MALL PTE. LTD.,1.37790533095468,103.94233582068
Loyang Point,LOYANG AVENUE PUMPING STATION,1.37316799974603,103.998160999626
888 Plaza,888 PLAZA,1.43712301500434,103.795314383823
Admiralty Place,8B @ ADMIRALTY,1.46217558034916,103.814478826213
AMK Hub,NIL,1.37813592073125,103.838825954367
Canberra Plaza,CANBERRA MRT STATION (NS12),1.44307664075699,103.829702590959
Causeway Point,ATM DBS CAUSEWAY POINT,1.43590007901468,103.785795816344
HDB Hub,HDB CENTRE OF BUILDING RESEARCH,1.45428714079221,103.800262079753
Broadway Plaza,BROADWAY FOOD CENTRE,1.33189434532343,103.867853678364
Jubilee Square,CITY SQUARE MALL,1.31142103107683,103.856624019991
Junction 8,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Junction Nine,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Marsiling Mall,MARSILING MALL HAWKER CENTRE,1.43354318137534,103.77988189197
Northpoint City,CITY HALL MRT STATION EXIT A,1.2932330759348,103.853021562271
Sembawang Shopping Centre,ANCHORPOINT SHOPPING CENTRE,1.28861469030586,103.805009964592
Sun Plaza,HOW SUN LINEAR PARK,1.34537498895161,103.878240452632
Vista Point,BUONA VISTA MRT STATION,1.30627534823257,103.790363200126
Wisteria Mall,ATM OCBC WISTERIA MALL - FAIRPRICE,1.41798969122298,103.841317292608
Woodlands Civic Centre,CIVIC TERRACE WAREHOUSE,1.33499330903527,103.894697367969
Woodlands Mart,LIGHT OF CHRIST CHURCH WOODLANDS,1.42653981910601,103.792987223691
Woodlands North Plaza,ADMIRALTY WEST PUMPING STATION,1.45040408597633,103.784706643694
Anchorvale Village,ANCHORVALE PLAINS,1.39296872192969,103.885107193078
Buangkok Square,BUANGKOK EDGEVIEW,1.38480471687671,103.881166449056
Compass One,COMPASS GREEN,1.35737667495515,103.975381758979
Greenwich V,GREENWICH V,1.38739539397015,103.869135978173
Heartland Mall,ATM CITIBANK HEARTLAND MALL,1.35954177325561,103.885167372726
Hougang 1,ATM DBS HOUGANG MALL,1.37248308734511,103.893788141349
Hougang Green Shopping Mall,ATM DBS HOUGANG GREEN SHOPPING MALL,1.37931783499145,103.88784708944
Hougang Mall,ATM DBS HOUGANG GREEN SHOPPING MALL,1.37931783499145,103.88784708944
NEX,ATM CITIBANK NEX MALL,1.35064579494756,103.872590477492
Northshore Plaza,NORTHSHORE COVE,1.41951094431327,103.906662295631
Oasis Terraces,ALKAFF OASIS,1.3346202905486,103.872757632088
Punggol Coast Mall,PUNGGOL COAST MALL,1.41470557625612,103.912635422712
Punggol Plaza,PULAU PUNGGOL TIMOR PUMPING STATION,1.42058928253818,103.911258573866
Rivervale Mall,ATM DBS RIVERVALE MALL,1.39221732695142,103.904473070943
Rivervale Plaza,RIVERVALE COURT,1.38443729931578,103.901309870914
Sengkang Grand Mall,SENGKANG GRAND MALL,1.38298163203344,103.892721007746
The Seletar Mall,ATM UOB THE SELETAR MALL,1.39150192642807,103.87617162828
Upper Serangoon Shopping Centre,CALTEX UPPER SERANGOON,1.35572352570845,103.880750271887
Waterway Point,PUNGGOL WATERWAY,1.40223327053212,103.915405276446
myVillage At Serangoon Garden,AFFINITY AT SERANGOON,1.36562488581116,103.872642085065
Beauty World Centre,BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
Beauty World Plaza,BEAUTY WORLD CENTRE,1.34241264188642,103.776539385406
Bukit Panjang Plaza,BUKIT PANJANG FLOVER,1.37601542824569,103.761935152799
Bukit Timah Plaza,BUKIT PANJANG MRT STATION,1.37956121236613,103.761188866252
Fajar Shopping Centre,FAJAR HILLS,1.38133164210104,103.770298818046
Greenridge Shopping Centre,GREENRIDGE,1.33566676005692,103.765867215571
Hillion Mall,ATM DBS NTUC HILLION MALL,1.37841165144214,103.76382945872
HillV2,HillV2,1.3626746,103.764173
Junction 10,BAHAR JUNCTION MRT STATION (JS7),1.34618225434114,103.703002254271
Keat Hong Shopping Centre,KEAT HONG CREST,1.37524979404042,103.743448796988
Limbang Shopping Centre,LIMBANG GREEN,1.39411509589311,103.745240617329
Lot One,"LOT ONE, SHOPPERS' MALL",1.38497459672379,103.745011766388
Rail Mall,THE RAIL MALL,1.35793376567949,103.767991780291
Sunshine Place,SUNSHINE COURT,1.37706072838072,103.737985078061
Teck Whye Shopping Centre,TECK WHYE CREST,1.38292232427838,103.753939006148
West Mall,ATM DBS WEST MALL,1.35037541626109,103.74912389291
Yew Tee Point,HEART OF YEW TEE,1.3971942776408,103.745922751197
Yew Tee Square,HEART OF YEW TEE,1.3971942776408,103.745922751197
VivoCity,VIVOCITY,1.2642932,103.8223047
HarbourFront Centre,BANK OF AMERICA HARBOURFRONT,1.26581280840254,103.818868952573
Alexandra Retail Centre,ALEXANDRA 38,1.27555511935439,103.797685917765
321 Clementi,NIL,1.32374623789741,103.851619341717
The Clementi Mall,ATM OCBC THE CLEMENTI MALL - CLEMENTI BRANCH,1.31489619639366,103.764423054189
IMM,IMM BUILDING,1.3348753,103.7468948
Jem,JEM,1.3332934,103.7432788
Westgate,WESTGATE,1.3341577,103.7427665
Jurong Point,ICA JURONG SCANNING STATION,1.30958912764797,103.711912852285
Pioneer Mall,ATM DBS PIONEER MALL,1.34167331883255,103.697244542805
The Star Vista,ASIA STAR HOTEL,1.30850392590277,103.854724871055
Alexandra Central,ALEXANDRA 38,1.27555511935439,103.797685917765
Anchorpoint,ANCHORPOINT SHOPPING CENTRE,1.2889348,103.8056078
OD Mall,GRANTRAL MALL @ CLEMENTI,1.3142705,103.7651475
Boon Lay Shopping Centre,BOON LAY COURT,1.34783725319329,103.707753067941
Grantral Mall,GRANTRAL MALL @ CLEMENTI,1.31427043922294,103.765147487482
Fairprice Hub,ATM OCBC BENOI RD- FAIRPRICE,1.32561764102293,103.678410551563
Gek Poh Shopping Centre,GEK POH MRT STATION,1.3483403539896,103.698067375909
Rochester Mall,ROCHESTER MALL,1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,JUST KIDS @ TAMAN JURONG PTE. LTD.,1.3350420286067,103.72026802061
West Coast Plaza,WEST COAST MARINE FIRE STATION,1.29250760743036,103.762061687065
Plantation Plaza,PLANTATION ACRES,1.35432940422664,103.735168981842
Tengah Mall (2027),DORM 1A TENGAH,1.36272836277485,103.740878068259
Queensway Shopping Centre,ALEXANDRA FIRE STATION,1.28842657948272,103.802829527538
The Rail Mall,THE RAIL MALL,1.35793376567949,103.767991780291
